City,Date_Updated,Country,Latitude,Longitude,Temperature_Max,Humidity,Cloudiness,Wind_Speed
basco,2020-04-12,PH,20.45,121.97,69.46,71,87,22.79
atbasar,2020-04-12,KZ,51.8,68.33,39.9,64,4,7.63
souillac,2020-04-12,MU,-20.52,57.52,78.01,83,75,13.87
kruisfontein,2020-04-12,ZA,-34,24.73,54.12,80,3,7.09
batemans bay,2020-04-12,AU,-35.72,150.18,57,100,100,2.66
oktyabrskoye,2020-04-12,RU,43.06,44.74,32.45,68,96,4.16
bengkulu,2020-04-12,ID,-3.8,102.27,78.42,80,93,3.42
talnakh,2020-04-12,RU,69.49,88.4,17.6,78,100,6.71
vigeland,2020-04-12,NO,58.08,7.3,39.2,44,0,10.29
gualaquiza,2020-04-12,EC,-3.4,-78.55,67.6,63,94,1.63
mikhaylovka,2020-04-12,RU,50.06,43.24,28.99,80,0,11.9
arraial do cabo,2020-04-12,BR,-22.97,-42.03,73.4,83,75,5.82
chabahar,2020-04-12,IR,25.29,60.64,76.95,79,99,5.46
kiyasovo,2020-04-12,RU,56.35,53.12,37.99,94,100,1.01
kapaa,2020-04-12,US,22.08,-159.32,78.8,61,1,9.17
chokurdakh,2020-04-12,RU,70.63,147.92,-1.59,91,52,7.63
hithadhoo,2020-04-12,MV,-0.6,73.08,84.47,69,20,8.14
mataura,2020-04-12,NZ,-46.19,168.86,46,81,73,11.01
barra da estiva,2020-04-12,BR,-13.63,-41.33,67.68,75,98,3.62
grand gaube,2020-04-12,MU,-20.01,57.66,78.01,83,75,13.87
rikitea,2020-04-12,PF,-23.12,-134.97,77.95,78,45,17.87
ushuaia,2020-04-12,AR,-54.8,-68.3,42.8,87,90,21.92
bambous virieux,2020-04-12,MU,-20.34,57.76,78.01,83,75,13.87
teguldet,2020-04-12,RU,57.31,88.17,32.4,89,0,7.78
pevek,2020-04-12,RU,69.7,170.31,10.99,91,49,11.48
hermanus,2020-04-12,ZA,-34.42,19.23,55.99,79,5,3.62
tuktoyaktuk,2020-04-12,CA,69.45,-133.04,21.2,79,20,4.7
dingle,2020-04-12,PH,11,122.67,82.31,64,23,2.44
batagay-alyta,2020-04-12,RU,67.8,130.41,18.41,86,97,7.61
bluff,2020-04-12,NZ,-46.6,168.33,46,81,78,11.01
concarneau,2020-04-12,FR,47.88,-3.92,55,93,99,5.82
jamestown,2020-04-12,US,42.1,-79.24,66.2,38,90,6.93
bongandanga,2020-04-12,CD,1.5,21.05,70.41,85,100,1.1
huarmey,2020-04-12,PE,-10.07,-78.15,73.96,76,74,9.13
burns lake,2020-04-12,CA,54.23,-125.75,45.43,39,0,2.39
kodiak,2020-04-12,US,57.79,-152.41,44.6,81,90,5.82
